benchmark,run,first_executed,inline_elapsed_ms,structured_elapsed_ms,paired_difference_ms,inline_nodes_affected,structured_nodes_affected,inline_properties_set,structured_properties_set,inline_nodes_restored,structured_nodes_restored
canonical_definition_update,1,structured,1157.8672,18.5472,1139.32,34379,1,34379,1,34379,1
canonical_definition_update,2,structured,895.3009,23.4346,871.8663,34379,1,34379,1,34379,1
canonical_definition_update,3,inline,891.892,17.7724,874.1196,34379,1,34379,1,34379,1
canonical_definition_update,4,inline,1014.3197,32.519,981.8007,34379,1,34379,1,34379,1
canonical_definition_update,5,structured,864.6258,17.4719,847.1539,34379,1,34379,1,34379,1
canonical_definition_update,6,inline,873.3698,19.5292,853.8406,34379,1,34379,1,34379,1
canonical_definition_update,7,structured,865.1435,18.6871,846.4564,34379,1,34379,1,34379,1
canonical_definition_update,8,structured,952.8677,23.0617,929.806,34379,1,34379,1,34379,1
canonical_definition_update,9,structured,884.6319,22.2369,862.395,34379,1,34379,1,34379,1
canonical_definition_update,10,inline,847.4385,34.3186,813.1199,34379,1,34379,1,34379,1
canonical_definition_update,11,structured,927.0675,17.5509,909.5166,34379,1,34379,1,34379,1
canonical_definition_update,12,structured,14638.4503,17.1662,14621.2841,34379,1,34379,1,34379,1
canonical_definition_update,13,inline,904.0145,16.9223,887.0922,34379,1,34379,1,34379,1
canonical_definition_update,14,structured,867.7895,17.9443,849.8452,34379,1,34379,1,34379,1
canonical_definition_update,15,structured,851.3946,23.5273,827.8673,34379,1,34379,1,34379,1
canonical_definition_update,16,inline,20898.8774,23.7649,20875.1125,34379,1,34379,1,34379,1
canonical_definition_update,17,structured,935.6588,21.4496,914.2092,34379,1,34379,1,34379,1
canonical_definition_update,18,inline,870.9007,16.4493,854.4514,34379,1,34379,1,34379,1
canonical_definition_update,19,inline,907.3603,24.1112,883.2491,34379,1,34379,1,34379,1
canonical_definition_update,20,inline,936.9324,21.2239,915.7085,34379,1,34379,1,34379,1
canonical_definition_update,21,structured,1260.0242,15.8623,1244.1619,34379,1,34379,1,34379,1
canonical_definition_update,22,structured,889.9369,20.3701,869.5668,34379,1,34379,1,34379,1
canonical_definition_update,23,inline,814.5237,23.2039,791.3198,34379,1,34379,1,34379,1
canonical_definition_update,24,inline,794.6664,25.7827,768.8837,34379,1,34379,1,34379,1
canonical_definition_update,25,inline,33599.5368,18.5888,33580.948,34379,1,34379,1,34379,1
canonical_definition_update,26,inline,1168.6541,19.2045,1149.4496,34379,1,34379,1,34379,1
canonical_definition_update,27,structured,1056.3863,17.4715,1038.9148,34379,1,34379,1,34379,1
canonical_definition_update,28,inline,1323.3221,29.3236,1293.9985,34379,1,34379,1,34379,1
canonical_definition_update,29,structured,40009.0505,18.6694,39990.3811,34379,1,34379,1,34379,1
canonical_definition_update,30,inline,874.5405,17.0086,857.5319,34379,1,34379,1,34379,1
